23	7.5	0.131	52.472	1.391	0.019058	0.000505
26	6.9	0.120	48.295	1.393	0.020706	0.000597
29	6	0.105	42.020	1.396	0.023798	0.000790
32	5.6	0.098	39.228	1.397	0.025492	0.000908
35	5	0.087	35.037	1.398	0.028542	0.001139
